dataset,best_params,r2,rmsle
BalancedSampling_sampled_data_5000_set_12,"{'n_estimators': 370, 'max_depth': 30, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7855990673566025,0.5096514837106416
clhs_sampled_data_5000_set_12,"{'n_estimators': 288, 'max_depth': 17, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.757189893975024,0.5786520709996272
FCMtp2sampled_data_5000_set_12,"{'n_estimators': 462, 'max_depth': 20, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6518320075516443,0.651977043014203
FSCS_sampled_data_5000_set_12,"{'n_estimators': 994, 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.8217696691985215,0.5005525685955833
BalancedSampling_sampled_data_5000_set_13,"{'n_estimators': 953, 'max_depth': 21, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7768081535598355,0.5302925601095652
clhs_sampled_data_5000_set_13,"{'n_estimators': 300, 'max_depth': 19, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7606440297924026,0.5849739547545613
FCMtp2sampled_data_5000_set_13,"{'n_estimators': 222, 'max_depth': 26, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6464696558192615,0.6522480318978138
FSCS_sampled_data_5000_set_13,"{'n_estimators': 193, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.8128579428650278,0.5123694574393358
BalancedSampling_sampled_data_5000_set_14,"{'n_estimators': 972, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7769858932147957,0.5597678085199747
clhs_sampled_data_5000_set_14,"{'n_estimators': 439, 'max_depth': 23, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7861542190251543,0.5472856898229906
FCMtp2sampled_data_5000_set_14,"{'n_estimators': 842, 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6554410458186781,0.6389673315711466
FSCS_sampled_data_5000_set_14,"{'n_estimators': 175, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7945015004404714,0.5502520563742163
BalancedSampling_sampled_data_5000_set_15,"{'n_estimators': 25, 'max_depth': 21, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7627273508857417,0.5596804752626574
clhs_sampled_data_5000_set_15,"{'n_estimators': 737, 'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.762525857736505,0.6132816354656185
FCMtp2sampled_data_5000_set_15,"{'n_estimators': 949, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6527014789981622,0.6445677016595339
FSCS_sampled_data_5000_set_15,"{'n_estimators': 707, 'max_depth': 18, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8189948217357838,0.5108089072828759
BalancedSampling_sampled_data_5000_set_16,"{'n_estimators': 303, 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7654470240318043,0.5711414889248644
