dataset,best_params,test_accuracy,test_f1
FCMtp2sampled_data_1000_set_18,"{'n_estimators': 708, 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5427312533708738,0.4711281725759052
FSCS_sampled_data_1000_set_18,"{'n_estimators': 482, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6630863035111936,0.625712815398451
kmeans_sampled_data_1000_set_18,"{'n_estimators': 613, 'max_depth': 2, 'min_samples_split': 3, 'min_samples_leaf': 14, 'max_features': 'log2'}",0.5350433757187388,0.4533015251902693
BalancedSampling_sampled_data_1000_set_19,"{'n_estimators': 37, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.6503889645589754,0.6147070343959915
clhs_sampled_data_1000_set_19,"{'n_estimators': 875, 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 10, 'max_features': 'sqrt'}",0.6502244202097026,0.611618067014717
FCMtp1sampled_data_1000_set_19,"{'n_estimators': 114, 'max_depth': 23, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.5355827155302442,0.4699991003220787
FCMtp2sampled_data_1000_set_19,"{'n_estimators': 831, 'max_depth': 6, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5200149918184893,0.42436737457104673
FSCS_sampled_data_1000_set_19,"{'n_estimators': 261, 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6629126178091834,0.6354422047851115
kmeans_sampled_data_1000_set_19,"{'n_estimators': 942, 'max_depth': 4, 'min_samples_split': 6, 'min_samples_leaf': 15, 'max_features': 'log2'}",0.5809421078131142,0.5153764073134625
BalancedSampling_sampled_data_1000_set_20,"{'n_estimators': 73, 'max_depth': 29, 'min_samples_split': 15, 'min_samples_leaf': 9, 'max_features': 'log2'}",0.6625378223469509,0.6305553985500304
clhs_sampled_data_1000_set_20,"{'n_estimators': 459, 'max_depth': 18, 'min_samples_split': 2, 'min_samples_leaf': 13, 'max_features': 'sqrt'}",0.6599782435804851,0.6195383302460291
FCMtp1sampled_data_1000_set_20,"{'n_estimators': 855, 'max_depth': 29, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5434077134734397,0.4783678147368256
FCMtp2sampled_data_1000_set_20,"{'n_estimators': 174, 'max_depth': 19, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5282147852239174,0.4519807559602237
FSCS_sampled_data_1000_set_20,"{'n_estimators': 793, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6750614755971589,0.6468816427450007
kmeans_sampled_data_1000_set_20,"{'n_estimators': 405, 'max_depth': 13, 'min_samples_split': 12, 'min_samples_leaf': 9, 'max_features': 'sqrt'}",0.5861526788734197,0.5277532994177379
BalancedSampling_sampled_data_5000_set_1,"{'n_estimators': 264, 'max_depth': 31, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.7044775269704819,0.6806012430742071
clhs_sampled_data_5000_set_1,"{'n_estimators': 708, 'max_depth': 32, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7264619092349587,0.7086513095096746
FCMtp1sampled_data_5000_set_1,"{'n_estimators': 458, 'max_depth': 21, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6130198400273263,0.5547437326472223
FCMtp2sampled_data_5000_set_1,"{'n_estimators': 828, 'max_depth': 12, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.6099266554704772,0.5485094907802948
FSCS_sampled_data_5000_set_1,"{'n_estimators': 907, 'max_depth': 19, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.721138975074246,0.7005419150239512
kmeans_sampled_data_5000_set_1,"{'n_estimators': 840, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.6250415112958166,0.5739633260032625
BalancedSampling_sampled_data_5000_set_2,"{'n_estimators': 400, 'max_depth': 27, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7132636892393233,0.6917623767252024
clhs_sampled_data_5000_set_2,"{'n_estimators': 479, 'max_depth': 24, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7108631503040999,0.6893809041145329
FCMtp1sampled_data_5000_set_2,"{'n_estimators': 111, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5958460239294829,0.540720835547505
FCMtp2sampled_data_5000_set_2,"{'n_estimators': 204, 'max_depth': 28, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.613000863434953,0.5532457162555605
FSCS_sampled_data_5000_set_2,"{'n_estimators': 869, 'max_depth': 24, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7172867268224645,0.6984319801353825
kmeans_sampled_data_5000_set_2,"{'n_estimators': 443, 'max_depth': 30, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.6156291214786561,0.5661041994466004
BalancedSampling_sampled_data_5000_set_3,"{'n_estimators': 385, 'max_depth': 16, 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7128367159109239,0.6920777258730367
clhs_sampled_data_5000_set_3,"{'n_estimators': 539, 'max_depth': 27, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7168312886055052,0.6973048732984936
FCMtp1sampled_data_5000_set_3,"{'n_estimators': 57, 'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.5803990777376107,0.529144965597993
FCMtp2sampled_data_5000_set_3,"{'n_estimators': 890, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6012258878673157,0.5415640685327974
FSCS_sampled_data_5000_set_3,"{'n_estimators': 295, 'max_depth': 8, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6859563728141338,0.6573270928140365
kmeans_sampled_data_5000_set_3,"{'n_estimators': 424, 'max_depth': 22, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.626787357794161,0.579244767466106
