Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
10361,40.8,1.37,1.9,2.4,2.9,0.15,2.5,0.1,90.2,66,0
15106,4.13,1.59,32.2,17.5,0.2,0.09,9.3,0,40.8,155,0
9168,94.7,1.47,0.5,0.7,63.7,0.18,2.6,7,25.5,15,0
6913,33.5,1.41,2.9,2.7,1.7,0.35,4.1,0.1,88.5,25,0
15332,47.3,1.23,2.7,3.5,24.3,1.9,8,5.6,55.7,0,0.2
9899,1.37,1.68,12.7,10.3,28.4,0.05,4,2.8,41.7,152,0.1
6404,17.75,1.71,0.1,7.9,13.4,0.02,0.7,1,76.9,152,0
6771,27.95,1.67,0.2,14.1,13.5,0.08,1.5,2.2,68.5,30,0
9112,2.93,1.7,16.6,11.7,29.7,2.59,5.4,3.8,32.8,91,0
4111,18.4,1.31,5.7,6.1,1.8,1.72,3.7,0,82.7,33,0
6339,40.75,1.45,1.4,1.4,55.6,0.15,2.6,16,23,0,0
15844,19.7,1.52,2.3,6.2,39.8,1.25,6.7,2.8,42.1,0,0.1
17175,36.2,1.4,2.7,6,42.2,0.19,5.8,10.3,32.7,20,0.3
4653,43.4,1.45,1.1,5.2,11,0.1,1.7,1.1,79.8,41,0.1
6367,15.1,1.52,5.6,8.8,14,0.14,3,0.6,68,66,0
11934,1.31,2.11,3.2,5.2,43.7,1.15,11.3,5.6,31,66,0
6710,0.52,1.66,20.1,9.2,6.6,0.2,5.3,0.4,58.4,79,0
1067,1.92,1.68,1.2,44.2,10.9,0.65,5.8,1.1,36.8,86,0
13578,17.8,1.65,38.9,9.1,12.4,0.15,2.7,1.1,35.6,124,0.2
6474,35.5,1.42,1.2,10,2.8,0.11,3.5,0.2,82.3,15,0
579,1.1,1.64,3.4,9.1,0.2,0.05,1.1,0,86.2,132,0
7181,30.9,1.7,0.8,1.6,44.6,0.51,1.7,1.2,50.1,183,0
17078,30.9,1.51,0.4,11.3,31.6,0.3,3.2,3.9,49.5,0,0.1
15686,13.7,1.53,4.5,13.1,16.3,1.27,4.4,2.6,59,46,0.1
3589,20.07,1.51,2.2,4.3,21,0.56,1.6,1.1,69.8,99,0
6205,56.55,1.57,0.5,3.3,52.1,0.36,6.6,12.7,24.6,18,0.2
3140,38.1,1.53,1,6.7,13.5,0.01,0.4,1.2,77.1,152,0.1
3915,23.7,1.48,2,3.6,3.9,0.64,5,0,85.5,15,0
16741,23.7,1.53,1,1.2,53.4,0.03,2.3,14.2,26.5,114,1.4
17391,28.5,1.41,0.6,14.5,8.4,0.8,3.2,0.1,73.2,0,0
12198,73.6,1.53,2.5,1.7,50.9,0.66,5,27.3,11.1,0,1.5
9882,52.6,1.42,4.2,5.8,15.7,0.15,4,1,69.3,114,0
4047,21.45,1.57,0.8,1.3,2.3,0.39,0.8,0.1,94.7,79,0
2906,20.4,1.41,1.5,8.8,7.9,2.17,6.3,0.6,74.9,0,0
3304,36.15,1.46,1.2,10,31.4,0.6,2.1,2.7,52.6,13,0
3027,109.15,1.37,0.3,0.3,67.6,0.48,1.1,5.4,25.3,0,0
6355,38.1,1.52,1.6,2,39.7,0.28,1.8,0.9,54,33,0
8550,0.05,1.73,29.1,18.4,7.1,0.04,2.7,1.3,41.3,157,0.1
1245,15.77,1.47,2.2,11.7,10.6,1.98,4.5,0.6,70.4,0,0
13521,0.16,1.52,14.3,11.4,6.9,0.12,2.4,0.8,64.2,168,0
6488,25,1.54,0.8,2.3,12.4,0.05,0.5,1.4,82.6,142,0
3777,79.55,1.5,1.8,1.2,48.6,0.02,0.8,4.5,43.1,160,0
4009,63.1,1.43,0.4,1.3,5,0.18,2.6,0.1,90.6,48,0
9230,38.1,1.13,1,2.4,4.1,3.87,0.8,0.1,91.6,0,0
6495,25,1.38,1.5,2.7,12.5,0.26,2.1,1.8,79.4,8,0
2337,14.5,1.56,1.4,21,11,0.1,8.7,2.6,55,58,0.3
16581,8.62,1.67,3,8,18.7,0.06,2.4,1.9,66,81,0
8501,15.8,1.52,2.6,7.8,20.6,1.7,3.6,1,64.9,0,0
7583,121,1.54,1.6,2.4,65,0.08,0,9.8,21.2,20,0
152,53.9,1.47,0.6,4.7,12.4,0.05,0.6,0.8,80.9,198,0
2127,26.95,1.63,3,7.8,41.5,0.5,1.5,4.6,41.6,140,0
16165,0.63,1.33,11,29.2,0.7,3.28,36.5,0.2,22.3,0,0.1
12535,7.63,1.52,4,18.3,2.3,1.66,11.6,0.1,63.7,46,0
